date,rat_name,rat_ID,DOB,Sex,weight,Genotype,HL_date,invalid,file_name,experiment,phase,task,detail,stim_type,analysis_type,complete_block_count,trial_count,hit_percent,FA_percent,UUID,block_size
20241017,Orange1,745,20240717,Male,418,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,2,25,0.96,,20241017112851_76.5459939837456_0.392612257771637,10
20241017,Orange2,746,20240717,Male,360,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,2,24,0.916666666666667,,20241017112852_111.972999572754_0.275522940750633,10
20241017,Orange3,747,20240717,Male,416,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,1,18,0.833333333333333,,20241017123553_242.635004594922_0.0179646648379148,10
20241017,Orange4,748,20240717,Male,387,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,-Inf,2,1,,20241017114036_62.0600033551455_0.310797964739506,10
20241018,Orange1,745,20240717,Male,403,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,1,12,1,,20241018112608_236.40199676156_0.316801995287393,10
20241018,Orange2,746,20240717,Male,354,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,1,18,0.722222222222222,,20241018112609_337.333002313972_0.239525738796159,10
20241018,Orange3,747,20240717,Male,414,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,9,99,0.929292929292929,,20241018123008_86.6400048136711_0.30513311215036,10
20241018,Orange4,748,20240717,Male,384,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,23,231,0.961038961038961,,20241018123009_105.714996904135_0.265311567757095,10
20241021,Orange1,745,20240717,Male,414,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,5,55,0.945454545454546,,20241021111908_450.836007669568_0.390558127304033,10
20241021,Orange2,746,20240717,Male,358,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,15,152,0.907894736842105,,20241021111909_53.0090063810349_0.328105619068787,10
20241021,Orange3,747,20240717,Male,411,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,11,118,0.983050847457627,,20241021122255_111.399999260902_0.304676814057902,10
20241021,Orange4,748,20240717,Male,396,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,16,165,0.96969696969697,,20241021122256_101.143004000187_0.119569993000167,10
20241022,Orange1,745,20240717,Male,414,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,16,164,0.987804878048781,,20241022112633_45.1429959386587_0.0885771031891476,10
20241022,Orange2,746,20240717,Male,358,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,23,232,0.948275862068965,,20241022112634_89.1799930483103_0.220175079509758,10
20241022,Orange3,747,20240717,Male,411,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,17,171,0.976608187134503,,20241022122724_7.68099837005138_0.0864146327163006,10
20241022,Orange4,748,20240717,Male,392,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,27,273,0.915750915750916,,20241022122725_4.49100360274315_0.114121721688083,10
20241023,Orange1,745,20240717,Male,412,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,19,196,0.984693877551021,,20241023115200_35.864007845521_0.887919087352516,10
20241023,Orange2,746,20240717,Male,360,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,24,246,0.967479674796748,,20241023115201_74.9970082193613_0.67115495518231,10
20241023,Orange3,747,20240717,Male,410,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,18,184,0.983695652173913,,20241023130654_3.99600528180599_0.248386201256881,10
20241023,Orange4,748,20240717,Male,387,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,1,12,1,,20241023121436_65.7220032066107_0.895872813222938,10
20241024,Orange1,745,20240717,Male,406,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,20,208,0.966346153846154,,20241024111026_91.4269935339689_0.384595651024962,10
20241024,Orange2,746,20240717,Male,356,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,23,231,0.909090909090909,,20241024111027_94.3079978227615_0.368330822515966,10
